"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-10-11
"Volkswagen","T-Roc","White","35749","5400km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-10-11
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-10-11
"Opel","Corsa","Black interior","13899","22889km","4/2019","Manual","51 kW (69 hp)","12000cc","Petrol","5.6 l/100km","4x2","Germany","https://carvago.com/car/52043644/opel-corsa-120-jahre-51-kw",2022-10-11
"Ford","Fusion","Black","5299","85000km","10/2009","Manual","59 kW (80 hp)","1388cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/50023756/ford-fusion-1-4-style-59-kw",2022-10-11
"Mercedes-Benz","E 350","Black","11899","163000km","1/2009","Automatic","200 kW (272 hp)","3498cc","Petrol","11 l/100km","4x4","Germany","https://carvago.com/car/50053155/mercedes-benz-e-350-t-4matic-200-kw",2022-10-11
"Toyota","Land Cruiser","Brown interior","56949","20km","3/2022","Manual","200 kW (272 hp)","4000cc","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw",2022-10-11
"Dodge","RAM","Black","66999","308km","2/2022","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/52172049/dodge-ram-295-kw",2022-10-11
"Audi","S3","Yellow","36199","14470km","3/2021","Automatic","228 kW (310 hp)","1984cc","Petrol","7.4 l/100km","4x4","Germany","https://carvago.com/car/49934907/audi-s3-2-0-tfsi-quattro-228-kw",2022-10-11
"Opel","Insignia","Black","8899","135000km","4/2009","Manual","221 kW (300 hp)","1998cc","Petrol","9.3 l/100km","4x4","Germany","https://carvago.com/car/52016743/opel-insignia-221-kw",2022-10-11
"Hyundai","Getz","Red","2699","99983km","10/2018","Manual","49 kW (67 hp)","1086cc","Petrol","5.5 l/100km","4x2","Austria","https://carvago.com/car/52164273/hyundai-getz-49-kw",2022-10-11
"Audi","A5","Black","18399","130500km","1/2017","Automatic","140 kW (190 hp)","1968cc","Diesel","5 l/100km","4x4","Poland","https://carvago.com/car/52085489/audi-a5-s-2-0-tdi-quattro-tronic-140-kw",2022-10-11
"Chevrolet","Matiz","Other interior color","3099","56157km","8/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/52073956/chevrolet-matiz-0-8-s-38-kw",2022-10-11
"Chevrolet","Spark","Green","3249","133000km","9/2011","Manual","50 kW (68 hp)","995cc","Petrol","5.1 l/100km","4x2","Germany","https://carvago.com/car/51069074/chevrolet-spark-1-0-ls-50-kw",2022-10-11
"Ford","Fiesta","Silver","3849","120160km","3/2009","Manual","60 kW (82 hp)","1242cc","Petrol","5.7 l/100km","4x2","Germany","https://carvago.com/car/52071899/ford-fiesta-60-kw",2022-10-11
"DS Automobiles","DS9","Black","50649","3000km","7/2021","Automatic","165 kW (224 hp)","1598cc","Hybrid","1.5 l/100km","4x2","Spain","https://carvago.com/car/51869673/ds-automobiles-ds9-1-6-e-tense-eat8-165-kw",2022-10-11
"Skoda","Yeti","Black","6199","165000km","5/2011","Manual","81 kW (110 hp)","1968cc","Diesel","5.4 l/100km","4x2","Germany","https://carvago.com/car/52106219/skoda-yeti-2-0-tdi-81-kw",2022-10-11
"Dodge","Charger","Green","41899","31200km","8/2019","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/52080993/dodge-charger-362-kw",2022-10-11
"BMW","118","White","30249","35988km","7/2021","Automatic","100 kW (136 hp)","15000cc","Petrol","4 l/100km","4x2","Belgium","https://carvago.com/car/51225396/bmw-118-i-100-kw",2022-10-11
"Dodge","RAM","Black","51249","16433km","6/2021","Automatic","296 kW (402 hp)","5654cc","LPG","12.8 l/100km","4x4","Netherlands","https://carvago.com/car/52038662/dodge-ram-296-kw",2022-10-11
"Opel","Antara","Black","7099","123500km","6/2015","Manual","120 kW (163 hp)","2231cc","Diesel","6.3 l/100km","4x2","Germany","https://carvago.com/car/52201727/opel-antara-2-2-cdti-ecoflex-selection-120-kw",2022-10-11
"Dodge","Charger","Red","50199","23000km","4/2021","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51541402/dodge-charger-362-kw",2022-10-11
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-10-11
"Peugeot","208","White","9899","39850km","5/2019","Manual","75 kW (102 hp)","1499cc","Diesel","3.5 l/100km","4x2","Italy","https://carvago.com/car/52146583/peugeot-208-bluehdi-100-active-75-kw",2022-10-11
"Seat","Leon",NA,"3049","158500km","6/2009","Manual","92 kW (125 hp)","1390cc","Petrol","6.3 l/100km","4x2","Germany","https://carvago.com/car/52112470/seat-leon-style-92-kw",2022-10-11
"DFSK","Seres 3","Red","33599","4500km","4/2022","Manual","120 kW (163 hp)",NA,"Electric","18 kWh/100km","4x2","Germany","https://carvago.com/car/50746335/dfsk-seres-120-kw",2022-10-11
"Dodge","RAM","Black","52349","50000km","1/2021","Automatic","296 kW (402 hp)","5654cc","LPG","12.8 l/100km","4x4","Netherlands","https://carvago.com/car/51550906/dodge-ram-296-kw",2022-10-11
"Mercedes-Benz","E 63 AMG","Brown","52299","35000km","5/2015","Automatic","430 kW (585 hp)","5461cc","Petrol","10.5 l/100km","4x4","Germany","https://carvago.com/car/34668213/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw",2022-10-11
"Peugeot","308","Blue","4599","86210km","1/2010","Manual","110 kW (150 hp)","1598cc","Petrol","7.5 l/100km","4x2","Germany","https://carvago.com/car/51603850/peugeot-308-sw-150-thp-110-kw",2022-10-11
"Renault","Talisman","Grey","19299","51617km","5/2019","Automatic","147 kW (200 hp)","1997cc","Diesel","4.9 l/100km","4x2","Germany","https://carvago.com/car/52075048/renault-talisman-dci-200-edc-initiale-paris-147-kw",2022-10-11
"Volkswagen","Amarok","White","21399","94666km","5/2016","Manual","103 kW (140 hp)","1968cc","Diesel","7.2 l/100km","4x4","Germany","https://carvago.com/car/51609775/volkswagen-amarok-2-0-tdi-4motion-103-kw",2022-10-11
"Mercedes-Benz","CLA 45 AMG","Red","38699","22000km","6/2019","Automatic","280 kW (381 hp)","1991cc","Petrol","5.6 l/100km","4x4","Spain","https://carvago.com/car/52126120/mercedes-benz-cla-45-amg-4matic-7g-dct-280-kw",2022-10-11
"Dodge","Charger","Black","43949","34000km","9/2020","Automatic","362 kW (492 hp)","6424cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51999464/dodge-charger-362-kw",2022-10-11
"Skoda","Superb","Black","26799","35000km","5/2022","Automatic","110 kW (150 hp)","1968cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/52201146/skoda-superb-combi-2-0-tdi-green-tec-business-edition-110-kw",2022-10-11
"Hyundai","i20","White","6699","166770km","1/2019","Manual","62 kW (84 hp)","1248cc","Petrol","5 l/100km","4x2","Poland","https://carvago.com/car/52051034/hyundai-i20-1-2-62-kw",2022-10-11
"Opel","Insignia","Grey","4399","141974km","3/2010","Automatic","118 kW (160 hp)","1956cc","Diesel","6.9 l/100km","4x2","Germany","https://carvago.com/car/52040986/opel-insignia-2-0-cdti-sports-tourer-automatic-cosmo-118-kw",2022-10-11
"Hyundai","i20","White","7649","116029km","1/2019","Manual","62 kW (84 hp)","1248cc","Petrol","5 l/100km","4x2","Poland","https://carvago.com/car/52080016/hyundai-i20-1-2-62-kw",2022-10-11
"Mercedes-Benz","E 450","Black","71199","21240km","2/2021","Automatic","270 kW (367 hp)","2999cc","Petrol","8.1 l/100km","4x4","Germany","https://carvago.com/car/49964977/mercedes-benz-e-450-t-4matic-270-kw",2022-10-11
"Audi","A4","Black","37149","15000km","3/2022","Automatic","150 kW (204 hp)","1968cc","Diesel","4 l/100km","4x4","Sweden","https://carvago.com/car/51973696/audi-a4-150-kw",2022-10-11
"Skoda","Kodiaq","Grey","23049","90452km","1/2017","Automatic","140 kW (190 hp)","1968cc","Diesel","6 l/100km","4x4","Poland","https://carvago.com/car/51473171/skoda-kodiaq-2-0-tdi-4x4-dsg-140-kw",2022-10-11
"Nissan","Micra","Orange","9199","19336km","6/2020","Manual","74 kW (101 hp)","999cc","Petrol","4.6 l/100km","4x2","Germany","https://carvago.com/car/52163736/nissan-micra-100-n-way-74-kw",2022-10-11
"Mitsubishi","Outlander","Grey","9799","123000km","1/2012","Manual","130 kW (177 hp)","2268cc","Diesel","6.3 l/100km","4x4","Germany","https://carvago.com/car/50386175/mitsubishi-outlander-2-2-4wd-motion-130-kw",2022-10-11
"Jaguar","XE","Black","22999","94000km","2/2019","Automatic","177 kW (241 hp)","1999cc","Diesel","5.8 l/100km","4x4","Germany","https://carvago.com/car/51999914/jaguar-xe-25d-awd-r-sport-177-kw",2022-10-11
"Dodge","RAM","Red","43949","39000km","3/2019","Automatic","295 kW (401 hp)","5654cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/49021193/dodge-ram-295-kw",2022-10-11
"Audi","RS3","Black","38199","31000km","1/2016","Automatic","310 kW (421 hp)","2480cc","Petrol","8 l/100km","4x4","Poland","https://carvago.com/car/49954570/audi-rs3-310-kw",2022-10-11
