"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"BMW","330 Gran Turismo","Black",36199,39825,2017,"Automatic",2993,"Diesel",6,"4x4","Germany","https://carvago.com/car/50531271/bmw-330-gran-turismo-d-xdrive-advantage-190-kw","22/08/2022","50531271",190,258,5
"Volkswagen","Polo","Silver",3099,159936,2009,"Manual",1390,"Petrol",6.4,"4x2","Germany","https://carvago.com/car/51235152/volkswagen-polo-1-4-16v-59-kw","22/08/2022","51235152",59,80,13
"Jeep","Compass","Grey",5599,167600,2010,"Manual",1968,"Diesel",6,"4x4","Germany","https://carvago.com/car/50713756/jeep-compass-88-kw","22/08/2022","50713756",88,120,12
"Volkswagen","T-Roc","White",35749,4900,2022,"Manual",14980,"Petrol",6.6,"4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw","22/08/2022","50091982",110,150,0
"Mazda","2","Blue",3699,110700,2009,"Manual",1498,"Petrol",5.7,"4x2","Germany","https://carvago.com/car/51353515/mazda-2-1-5-impression-76-kw","22/08/2022","51353515",76,103,13
"Renault","Clio","Grey",15599,13884,2019,"Manual",14641,"Diesel",6,"4x2","Belgium","https://carvago.com/car/48302236/renault-clio-dci-85-business-66-kw","22/08/2022","48302236",66,90,3
"Kia","XCeed","Silver",24649,19500,2020,"Manual",13534,"Petrol",6.2,"4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw","22/08/2022","50175449",103,140,2
"Hyundai","i10","Silver",2599,126576,2009,"Manual",1086,"Petrol",5,"4x2","Germany","https://carvago.com/car/50005923/hyundai-i10-1-1-classic-49-kw","22/08/2022","50005923",49,67,13
"Toyota","Aygo X","Black interior",8699,92000,2018,"Manual",998,"Petrol",4.1,"4x2","Germany","https://carvago.com/car/51037746/toyota-aygo-x-51-kw","22/08/2022","51037746",51,69,4
"BMW","118","White",30249,35988,2021,"Automatic",15000,"Petrol",4,"4x2","Belgium","https://carvago.com/car/51225396/bmw-118-i-100-kw","22/08/2022","51225396",100,136,1
"Toyota","Aygo X","Black interior",9199,74000,2018,"Manual",998,"Petrol",4.1,"4x2","Germany","https://carvago.com/car/50926346/toyota-aygo-x-51-kw","22/08/2022","50926346",51,69,4
"Dodge","Charger","Green",47099,17000,2021,"Automatic",6417,"Petrol",NA,NA,"Germany","https://carvago.com/car/51150520/dodge-charger-362-kw","22/08/2022","51150520",362,492,1
"Hyundai","i10","White",2799,120000,2009,"Manual",1086,"Petrol",5.2,"4x2","Germany","https://carvago.com/car/51513112/hyundai-i10-1-1-49-kw","22/08/2022","51513112",49,67,13
"Skoda","Octavia","Black",3399,123000,2009,"Manual",1598,"Petrol",7.3,"4x2","Germany","https://carvago.com/car/51535710/skoda-octavia-1-6-75-kw","22/08/2022","51535710",75,102,13
"Toyota","Land Cruiser","Brown interior",59049,20,2022,"Manual",4000,"Petrol",14,"4x4","Germany","https://carvago.com/car/41354867/toyota-land-cruiser-4-0-v6-200-kw","22/08/2022","41354867",200,272,0
